,x,y,geometry,장소명
23,127.116738451,37.2774728011,POINT (127.116738451 37.2774728011),구갈2리 소공원 주변
24,127.1143158147,37.2814208772,POINT (127.1143158147 37.2814208772),구갈공원 주변
26,127.1159379116,37.2780018916,POINT (127.1159379116 37.2780018916),기흥구청 인근 도로
27,127.1101043722,37.2778471124,POINT (127.1101043722 37.2778471124),구갈119안전센터 주변
57,127.1274238612,37.2728506853,POINT (127.1274238612 37.2728506853),구갈동
72,127.1136113,37.28075311,POINT (127.1136113 37.28075311),구갈로 노상
89,127.1146890443,37.2804471236,POINT (127.1146890443 37.2804471236),기흥구청
