,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
411,기흥구,동백동,분양,동원마을 동원로얄듀크,477,2007.07.31.,"기흥구 동백죽전대로 455-17 (동백동, 동원로얄듀크아파트)",경기 용인시 기흥구 동백동 683,127.148411081312,37.279797933497
412,기흥구,동백동,분양,백현마을 한라비발디(2단지),304,2006.02.27.,"기흥구 동백7로 96 (동백동, 백현마을한라비발디아파트)",경기 용인시 기흥구 동백동 662,127.160794549979,37.2802869728537
413,기흥구,동백동,분양,백현마을 코아루아파트,414,2006.03.29.,"기흥구 동백7로 80 (동백동, 백현마을코아루아파트)",경기 용인시 기흥구 동백동 661,127.159261891494,37.2814522857064
414,기흥구,동백동,분양,호수마을 서해그랑블,536,2006.04.20.,"기흥구 동백7로 56 (동백동, 호수마을서해그랑블아파트)",경기 용인시 기흥구 동백동 656,127.157828383583,37.2817373119883
415,기흥구,동백동,분양,호수마을 동보노빌리티,481,2006.02.27.,"기흥구 동백평촌로 39 (동백동, 호수마을동보노빌리티아파트)",경기 용인시 기흥구 동백동 654,127.154961672508,37.2817568676234
416,기흥구,동백동,분양,호수마을상록롯데캐슬,552,2007.02.06.,"기흥구 동백평촌로 70 (동백동, 호수마을상록롯데캐슬아파트)",경기 용인시 기흥구 동백동 653,127.155734867915,37.2793964829638
417,기흥구,동백동,분양,호수마을 계룡리슈빌,567,2006.03.02.,"기흥구 동백평촌로 15 (동백동, 호수마을계룡리슈빌아파트)",경기 용인시 기흥구 동백동 604,127.155420952554,37.2848275447757
418,기흥구,동백동,분양,백현마을 모아미래도,838,2006.02.27.,"기흥구 동백8로 90 (동백동, 백현마을모아미래도아파트)",경기 용인시 기흥구 동백동 599,127.160111317632,37.2842166067514
419,기흥구,동백동,분양,백현마을 한라비발디(1단지),342,2006.02.27.,"기흥구 동백7로 97 (동백동, 백현마을한라비발디아파트) ",경기 용인시 기흥구 동백동 596,127.16134915975,37.2810529120118
420,기흥구,동백동,분양,백현마을 모아미래도(2단지),336,2006.02.27.,"기흥구 동백8로 126 (동백동, 백현마을모아미래도아파트)",경기 용인시 기흥구 동백동 593,127.164066243807,37.2822444950203
421,기흥구,동백동,분양,백현마을 휴먼시아 8단지,600,2006.11.06.,"기흥구 동백8로131번길 9 (동백동, 백현마을휴먼시아아파트)",경기 용인시 기흥구 동백동 583,127.164442515197,37.2828580305422
422,기흥구,동백동,분양,백현마을 서해그랑블,482,2006.04.20.,"기흥구 동백8로 89 (동백동, 백현마을서해그랑블아파트)",경기 용인시 기흥구 동백동 579,127.161230518699,37.2853796792812
423,기흥구,동백동,분양,호수마을 휴먼시아 5단지,488,2006.11.06.,"기흥구 동백8로 27 (동백동, 호수마을어울림아파트)",경기 용인시 기흥구 동백동 575,127.154248576494,37.2861827077025
424,기흥구,마북동,분양,교동마을 정광아파트,478,1997.11.03.,"기흥구 마북로154번길 16 (마북동, 교동마을정광아파트)",경기 용인시 기흥구 마북동 204-5,127.125738100181,37.3024827565463
425,기흥구,마북동,분양,구성 우림아파트,362,1998.01.14.,"기흥구 구성로39번길 13 (마북동, 우림필유아파트)",경기 용인시 기흥구 마북동 352,127.113073665203,37.2964400293286
426,처인구,백암면 근창리,분양,동은아파트,50,1994.04.02,처인구 백암면 근창로35번길 8 (동은아파트),경기 용인시 처인구 백암면 근창리 28-1,127.371758904582,37.1631259385848
427,처인구,백암면 근창리,분양,덕현빌라,27,1986.01.29,처인구 백암면 근창로 38-6 (덕현빌라),경기 용인시 처인구 백암면 근창리 16-1,127.370323204456,37.1638614574445
428,처인구,백암면 근창리,분양,강림아파트,58,1990.12.31,처인구 백암면 근창로 38-9 (강림아파트),경기 용인시 처인구 백암면 근창리 11-4,127.369782972305,37.1637369970556
429,처인구,포곡읍 전대리,분양,녹십자아파트,30,1990.12.12,처인구 포곡읍 전대로 68 (녹십자아파트),경기 용인시 처인구 포곡읍 전대리 196-6,127.21870915395,37.2845717393898
430,처인구,포곡읍 전대리,분양,조양아파트,88,1995.06.07,처인구 포곡읍 전성로 10 (조양아파트),경기 용인시 처인구 포곡읍 전대리 368,127.216323950471,37.2848178706962
431,처인구,김량장동,임대,김량장 주공아파트,495,19981025,"처인구 중부대로1388번길 6-14  (김량장동, 김량주공2단지아파트)",경기 용인시 처인구 김량장동 502-1,127.196040016323,37.2336070084302
432,처인구,마평동,임대,마평 주공아파트,639,2004.09.24,"처인구 고림로 22  (마평동, 마평주공아파트)",경기 용인시 처인구 마평동 956,127.214477191055,37.2357245863147
433,기흥구,고매동,분양,동성아파트,216,1997.01.09.,"기흥구 고매로 26 (고매동, 동성아파트)",경기 용인시 기흥구 고매동 359,127.11218674511,37.2311643641017
434,기흥구,고매동,분양,세원아파트,320,1993.05.01.,"기흥구 공세로 76 (고매동, 세원아파트)",경기 용인시 기흥구 고매동 385-1,127.109696063763,37.2314220538897
435,기흥구,고매동,분양,매화마을 우남드림밸리아파트,168,2002.09.12.,"기흥구 고매로34번길 10 (고매동, 매화마을우남퍼스트빌아파트)",경기 용인시 기흥구 고매동 877,127.112152113636,37.2299223038764
436,기흥구,고매동,분양,매화마을 우림홀인원아파트,299,2003.10.04.,"기흥구 고매로34번길 31 (고매동, 매화마을우림홀인원아파트)",경기 용인시 기흥구 고매동 880,127.115036410943,37.228669875383
437,기흥구,고매동,분양,기흥 써니밸리 아파트,171,2009.12.31.,"기흥구 고매로 16 (고매동, 기흥써니벨리아파트)",경기 용인시 기흥구 고매동 883,127.110957845049,37.2312068798664
438,기흥구,보정동,분양,행원마을 동아솔레시티아파트,1701,2003.03.05(2001.08.11),"기흥구 보정로 30 (보정동, 동아솔레시티아파트) ",경기 용인시 기흥구 보정동 1162,127.112270035886,37.31037251816
439,기흥구,보라동,분양,한보라마을 화성파크드림,311,2007.07.27.,"기흥구 한보라2로 93 (보라동, 한보라마을화성파크드림아파트)",경기 용인시 기흥구 보라동 633,127.111792281652,37.2484467878653
440,기흥구,보라동,분양,한보라마을 2단지 일성트루엘,88,2008.11.19.,"기흥구 한보라1로21번길 58 (보라동, 한보라마을2단지일성트루엘아파트)",경기 용인시 기흥구 보라동 629,127.114017671547,37.2495645735409
441,기흥구,동백동,분양,호수마을 월드메르디앙,286,2006.06.23.,"기흥구 동백8로 19 (동백동, 호수마을월드메르디앙아파트)",경기 용인시 기흥구 동백동 574,127.153519576544,37.2873730253561
442,기흥구,동백동,분양,호수마을 자연앤데시앙,432,2006.08.18.,"기흥구 동백8로 9 (동백동, 호수마을자연&데시앙아파트)",경기 용인시 기흥구 동백동 572,127.151565178041,37.2860935473459
443,기흥구,구갈동,분양,강남마을 계룡리슈빌,528,2004.06.25.,"기흥구 강남동로 54 (구갈동, 강남마을7단지계룡리슈빌아파트)",경기 용인시 기흥구 구갈동 604,127.133476351771,37.2690085523411
444,기흥구,구갈동,분양,풍림아파트,205,1994.04.29.,"기흥구 구갈로28번길 12 (구갈동, 풍림아파트)",경기 용인시 기흥구 구갈동 385,127.113253415706,37.2771589010071
445,기흥구,구갈동,분양,신명아파트,60,1993.05.17.,"기흥구 구갈로28번길 34 (구갈동, 신명아파트)",경기 용인시 기흥구 구갈동 384-2,127.115309618793,37.2770089652762
446,기흥구,구갈동,분양,구갈 동부아파트,200,1992.12.01.,"기흥구 구갈로28번길 32 (구갈동, 동부아파트)",경기 용인시 기흥구 구갈동 384-1,127.115250598054,37.2764585775749
447,기흥구,구갈동,분양,구갈 한성1차아파트,570,1992.11.18.,"기흥구 기흥로 29 (구갈동, 한성1차아파트)",경기 용인시 기흥구 구갈동 380,127.114302620407,37.2791830690322
448,기흥구,구갈동,분양,가현마을 신안아파트,364,2001.12.17.,"기흥구 관곡로 53 (구갈동, 가현마을 신안아파트)",경기 용인시 기흥구 구갈동 344,127.11230303614,37.2835576353296
449,기흥구,구갈동,분양,우성에비뉴,96,2007.09.21.,"기흥구 기흥로38번길 53 (구갈동, 우성에비뉴)",경기 용인시 기흥구 구갈동 277,127.119158102775,37.276819359676
450,기흥구,구갈동,분양,안골마을 롯데캐슬,99,2005.04.28.,"기흥구 기흥로38번길 54 (구갈동, 안골마을롯데캐슬아파트)",경기 용인시 기흥구 구갈동 276,127.11837865721,37.2765495594487
451,기흥구,구갈동,분양,세종그랑시아 2차,194,1999.11.08.,"기흥구 기흥로38번길 34 (구갈동, 세종그랑시아2차아파트)",경기 용인시 기흥구 구갈동 273,127.118005460906,37.2783686804919
452,기흥구,구갈동,분양,세종그랑시아 1차,120,1999.10.30.,"기흥구 기흥로38번길 11 (구갈동, 세종그랑시아1차아파트)",경기 용인시 기흥구 구갈동 270,127.116777661088,37.2797636257515
453,기흥구,공세동,분양,탑실마을 대주피오레 2단지,1290,2009.07.31.,"기흥구 탑실로 152 (공세동, 탑실마을대주피오레2단지아파트)",경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
454,기흥구,공세동,분양,탑실마을 대주피오레1단지,710,2009.05.26.,"기흥구 탑실로 15 (공세동, 탑실마을대주피오레1단지아파트)",경기 용인시 기흥구 공세동 694,127.107802867191,37.2390627712733
455,기흥구,공세동,분양,공세 호수마을 상떼레이크뷰,345,2010.01.22.,"기흥구 동탄기흥로 864 (공세동, 공세성원상떼레이크뷰)",경기 용인시 기흥구 공세동 692,127.102908340046,37.235891750118
456,기흥구,공세동,분양,한보라마을 휴먼시아 9단지,600,2006.10.13.,"기흥구 한보라2로 167 (공세동, 한보라마을휴먼시아9단지아파트)",경기 용인시 기흥구 공세동 679,127.10791769234,37.2423725664651
457,기흥구,공세동,분양,용인 파크드림 프라브,261,2009.11.30.,"기흥구 한보라2로 141 (공세동, 화성파크드림프라브아파트)",경기 용인시 기흥구 공세동 676,127.110289325998,37.2457079413222
458,기흥구,공세동,분양,불곡마을 벽산블루밍아파트,390,2005.07.22.(2005.05.31.),"기흥구 고매로43번길 32-2 (공세동, 불곡마을벽산블루밍아파트) ",경기 용인시 기흥구 공세동 663,127.11754493797,37.232501816743
459,기흥구,구갈동,분양,구갈 한성2차아파트,384,1993.07.05.,"기흥구 구갈로 16 (구갈동, 한성2차아파트)",경기 용인시 기흥구 구갈동 385-1,127.112547023281,37.2764905526883
460,기흥구,구갈동,분양,신동아,48,1986.11.11.,"기흥구 신구로 80 (구갈동, 신동아APT)",경기 용인시 기흥구 구갈동 390-8,127.109999838272,37.2792358016228
461,기흥구,구갈동,분양,강남마을 자연앤(6단지),437,2004.08.05.,"기흥구 강남동로 42 (구갈동, 강남마을6단지자연&아이원아파트)",경기 용인시 기흥구 구갈동 603,127.129897999787,37.2689447743636
462,기흥구,구갈동,분양,강남마을 자연앤(4단지),344,2004.08.07.,"기흥구 강남동로 43 (구갈동, 강남마을4단지써미트빌아파트)",경기 용인시 기흥구 구갈동 600,127.132763854106,37.2703792957009
463,기흥구,구갈동,분양,강남마을 코오롱하늘채아파트,530,2004.09.24.,"기흥구 강남동로 20 (구갈동, 강남마을코오롱하늘채아파트)",경기 용인시 기흥구 구갈동 597,127.127939220502,37.269755501324
464,기흥구,구갈동,분양,강남마을 3단지 주공아파트,138,2004.11.30.,"기흥구 강남서로 52 (구갈동, 강남마을3단지주공아파트) ",경기 용인시 기흥구 구갈동 574,127.129134465383,37.2749956450224
465,기흥구,구갈동,분양,강남마을 한라비발디 아델70,70,2005.05.27.,"기흥구 강남서로 86 (구갈동, 강남마을한라비발디아델70아파트)",경기 용인시 기흥구 구갈동 544,127.131088739844,37.2787338024996
466,기흥구,구갈동,분양,강남마을 코오롱 하늘채 수 아파트,70,2004.10.29.,"기흥구 강남서로 94 (구갈동, 강남마을1단지코오롱하늘채수)",경기 용인시 기흥구 구갈동 543,127.129491921189,37.2793585385456
467,기흥구,구갈동,분양,기흥글로리시장아파트,44,1996.08.10.,"기흥구 신구로42번길 10 (구갈동, 영광아파트)",경기 용인시 기흥구 구갈동 409,127.110506887464,37.275747404838
468,기흥구,구갈동,분양,구갈 풍림아파트,180,1996.07.27.,"기흥구 신구로42번길 22 (구갈동, 풍림아파트)",경기 용인시 기흥구 구갈동 405-1,127.111739623189,37.275674254595
469,기흥구,구갈동,분양,우림아파트,150,1996.04.29.,"기흥구 신구로42번길 15 (구갈동, 우림아파트)",경기 용인시 기흥구 구갈동 404-2,127.111264173511,37.2763076829334
470,기흥구,구갈동,분양,신동아빌라,21,1986.11.11.,"기흥구 신구로64번길 8 (구갈동, 신동아빌라)",경기 용인시 기흥구 구갈동 401,127.110541649927,37.2775444962468
471,기흥구,구갈동,분양,라신빌라,51,1985.04.17.,"기흥구 신구로 70 (구갈동, 라신APT)",경기 용인시 기흥구 구갈동 398,127.10996012795,37.2783698494842
472,기흥구,구갈동,분양,신갈 두원아파트,72,1994.08.19.,"기흥구 구갈로28번길 13 (구갈동, 두원아파트)",경기 용인시 기흥구 구갈동 397-2,127.112650105457,37.2774907889399
473,기흥구,구갈동,분양,신갈 두원아파트,42,1994.06.08.,"기흥구 구갈로28번길 13 (구갈동, 두원아파트)",경기 용인시 기흥구 구갈동 397-2,127.112650105457,37.2774907889399
474,기흥구,구갈동,분양,구갈 한양아파트,624,1993.12.24.,"기흥구 구갈로28번길 21-11 (구갈동, 한양아파트)",경기 용인시 기흥구 구갈동 396,127.111816202499,37.2794229577235
475,기흥구,구갈동,분양,신성아파트,98,1988.10.12.,"기흥구 구갈로 45 (구갈동, 신성APT)",경기 용인시 기흥구 구갈동 393,127.110703819885,37.278486832105
476,처인구,삼가동,분양,삼가 풍림아파트,377,1998.12.19,"처인구 삼가로 28 (삼가동, 풍림아파트)",경기 용인시 처인구 삼가동 117,127.166890544523,37.2456326865269
477,처인구,삼가동,분양,진우아파트,582,1999.03.13,"처인구 중부대로 1144 (삼가동, 진우아파트)",경기 용인시 처인구 삼가동 265,127.172143024956,37.2388157946696
478,처인구,삼가동,분양,금령마을 우남퍼스트빌,451,2003.11.28,"처인구 금학로 91 (삼가동, 금령마을우남퍼스트빌아파트)",경기 용인시 처인구 삼가동 537,127.173980330492,37.2401835987824
479,기흥구,마북동,분양,용화마을 태영데시앙아파트 1단지(조합),321,2003.10.14.,"기흥구 구성로 44-10 (마북동, 용화마을태영데시앙아파트)",경기 용인시 기흥구 마북동 619,127.113762894095,37.2935974982875
480,기흥구,마북동,분양,교동마을 엘지자이,450,2001.08.11.,"기흥구 마북로 182 (마북동, 교동마을엘지자이아파트)",경기 용인시 기흥구 마북동 617,127.126520830689,37.3046052126458
481,기흥구,마북동,분양,연원마을 현대아파트,424,2000.05.31.,"기흥구 연원로 60 (마북동, 연원마을현대아이파크아파트)",경기 용인시 기흥구 마북동 550-4,127.112107839272,37.3027099080142
482,기흥구,마북동,분양,연원마을 LG아파트,396,1999.12.29.,"기흥구 연원로 5 (마북동, 연원마을엘지자이아파트)",경기 용인시 기흥구 마북동 526-3,127.107915862695,37.3013629715323
483,기흥구,마북동,분양,"연원마을 삼호,벽산아파트",1576,2000.09.30.,"기흥구 연원로42번길 2 (마북동, 연원마을벽산아파트)",경기 용인시 기흥구 마북동 524-8,127.111378894338,37.3004419678659
484,처인구,포곡읍 전대리,분양,장미아파트,45,1989.07.07,처인구 포곡읍 전대로76번길 13 (장미아파트),경기 용인시 처인구 포곡읍 전대리 191-5,127.218591698147,37.2859913601916
485,처인구,포곡읍 영문리,분양,배머루마을 인정베네치아빌리지,347,2002.03.05,처인구 포곡읍 영문로 64 (베네치아아파트),경기 용인시 처인구 포곡읍 영문리 555,127.20953517256,37.272491714414
486,처인구,포곡읍 삼계리,분양,계수마을 용인수목원 우림필유,346,2007.02.27(2006.12.30),처인구 포곡읍 백옥대로1898번길 34 (우림필유),경기 용인시 처인구 포곡읍 삼계리 672,127.238272172635,37.2945130429444
487,처인구,포곡읍 삼계리,분양,진형월드아파트,32,2003.07.28,처인구 포곡읍 포곡로 289-1 (진형월드아파트),경기 용인시 처인구 포곡읍 삼계리 491-1,127.232599033304,37.2807287369192
488,처인구,포곡읍 둔전리,분양,용인 포곡 삼성쉐르빌아파트,469,2012.09.11,처인구 포곡읍 포곡로 159 (용인포곡삼성쉐르빌아파트),경기 용인시 처인구 포곡읍 둔전리 449,127.220790267532,37.2739215707702
489,처인구,포곡읍 둔전리,분양,금전마을 계룡리슈빌,441,2006.04.05,처인구 포곡읍 둔전로 15 (금전마을계룡리슈빌아파트) ,경기 용인시 처인구 포곡읍 둔전리 447,127.215480376765,37.2667911575817
490,처인구,포곡읍 둔전리,분양,신원 1차아파트,474,1998.07.14,처인구 포곡읍 포곡로 90 (신원아파트),경기 용인시 처인구 포곡읍 둔전리 385,127.215710104946,37.2674506609158
491,처인구,포곡읍 둔전리,분양,인정멜로디아파트,831,1998.07.14,처인구 포곡읍 포곡로61번길 17 (인정멜로디아파트),경기 용인시 처인구 포곡읍 둔전리 319,127.212646166538,37.270823929875
492,처인구,포곡읍 둔전리,분양,신원 2차아파트,296,1999.12.20,처인구 포곡읍 포곡로 98-1 (용인신원2차아파트),경기 용인시 처인구 포곡읍 둔전리 147,127.218051635498,37.2671835381001
493,처인구,이동읍 천리,분양,이화아파트,92,1990.10.11,처인구 이동읍 적동로 15 (이화아파트),경기 용인시 처인구 이동읍 천리 92-5,127.216668177495,37.1884065493774
494,처인구,이동읍 천리,분양,용인 라이프아파트,139,1995.03.23,처인구 이동읍 이원로 101 (라이프타워),경기 용인시 처인구 이동읍 천리 56-4,127.217805534892,37.1875357597732
495,기흥구,마북동,분양,용화마을 태영데시앙아파트 2단지(일반),132,2003.10.10.,"기흥구 구성로 44-5 (마북동, 용화마을태영데시앙아파트)",경기 용인시 기흥구 마북동 620,127.1153427692,37.2941504674954
496,기흥구,마북동,분양,교동마을 쌍용아파트,340,2002.03.08.,"기흥구 마북로154번길 23 (마북동, 교동마을쌍용아파트)",경기 용인시 기흥구 마북동 621,127.128019413568,37.3027252123596
497,기흥구,보라동,분양,한보라마을 휴먼시아5단지,446,2006.12.01.,"기흥구 한보라1로43번길 22 (보라동, 한보라마을휴먼시아5단지아파트)",경기 용인시 기흥구 보라동 617,127.110722511198,37.2491293427057
498,기흥구,보라동,분양,한보라마을 1단지 한양수자인,136,2009.03.31.,"기흥구 한보라2로 51 (보라동, 한보라마을1단지한양수자인아파트)",경기 용인시 기흥구 보라동 601,127.115690259551,37.2509796623201
499,기흥구,보라동,분양,민속마을 현대모닝사이드 1차,1112,2004.01.27(2003.12.29),"기흥구 사은로126번길 46 (보라동, 현대모닝사이드1차아파트)",경기 용인시 기흥구 보라동 570,127.119536406044,37.2527177393252
500,기흥구,보라동,분양,보라마을 현대모닝사이드 2차,771,2003.06.27.,"기흥구 용구대로 1842 (보라동, 현대모닝사이드2차아파트)",경기 용인시 기흥구 보라동 564,127.105729889874,37.2522132230294
501,기흥구,보라동,분양,민속마을 신창미션힐아파트,926,2002.09.17,"기흥구 사은로126번길 33 (보라동, 민속마을신창미션힐아파트)",경기 용인시 기흥구 보라동 558,127.121293829145,37.25216946929
502,기흥구,보라동,분양,민속마을 쌍용아파트,1596,2002.05.20.,"기흥구 사은로126번길 10 (보라동, 민속마을 쌍용아파트)",경기 용인시 기흥구 보라동 553,127.117560419708,37.2516865812303
503,기흥구,보라동,분양,삼성래미안아파트,370,1998.05.29.,"기흥구 한보라1로64번길 22 (보라동, 삼성래미안아파트)",경기 용인시 기흥구 보라동 450,127.106806385425,37.2523193909809
504,기흥구,보라동,분양,기흥삼정선비마을,299,1998.10.29.,"기흥구 사은로 64 (보라동, 선비마을삼정아파트)",경기 용인시 기흥구 보라동 289-12,127.112563315604,37.2550925152079
505,기흥구,마북동,분양,교동마을 마북2차 이편한세상,110,2010.11.30.,"기흥구 마북로 218 (마북동, 마북2차e편한세상)",경기 용인시 기흥구 마북동 649,127.128904614556,37.307349626137
506,기흥구,마북동,분양,교동마을 동양파라곤,278,2010.10.26.,"기흥구 마북로 140 (마북동, 동양 파라곤아파트)",경기 용인시 기흥구 마북동 641,127.12274438066,37.301602343532
507,기흥구,마북동,분양,교동마을 구성자이3차,309,2010.03.29.,"기흥구 구교동로118번길 7 (마북동, 교동마을구성자이3차아파트)",경기 용인시 기흥구 마북동 638,127.118260176148,37.302936928161
508,기흥구,마북동,분양,교동마을 마북 이-편한세상,404,2013.05.31,"기흥구 마북로 210 (마북동, 교동마을 마북 이-편한세상)",경기 용인시 기흥구 마북동 636,127.128263217012,37.3070090109714
509,기흥구,마북동,분양,교동마을 현대홈타운,795,2003.08.01.,"기흥구 마북로 124-9 (마북동, 교동마을현대홈타운)",경기 용인시 기흥구 마북동 630,127.124638352473,37.3006967151864
510,기흥구,마북동,분양,삼거마을 삼성래미안 1차아파트,1282,2002.12.31.,"기흥구 용구대로2394번길 27 (마북동, 삼성래미안1차아파트)",경기 용인시 기흥구 마북동 629,127.113463292513,37.300391782518
511,기흥구,마북동,분양,교동마을 현대필그린아파트,486,2002.01.02.,"기흥구 마북로 139 (마북동, 현대필그린아파트)",경기 용인시 기흥구 마북동 625,127.12023953873,37.3027601328363
512,기흥구,마북동,분양,연원마을 쉐르빌아파트,316,2002.05.30.,"기흥구 연원로42번길 33 (마북동, 연원마을삼성쉐르빌아파트)",경기 용인시 기흥구 마북동 624,127.114832245818,37.3019634908872
513,처인구,이동읍 천리,분양,경일,72,1987.08.24,처인구 이동읍 백옥대로 570 (국민주택),경기 용인시 처인구 이동읍 천리 149-1,127.206525360312,37.1876690413159
514,처인구,이동읍 천리,분양,용인 동아아파트,202,1993.12.30,처인구 이동읍 이원로 22 (동아아파트),경기 용인시 처인구 이동읍 천리 127,127.209494314665,37.1893860997942
515,처인구,이동읍 천리,분양,한천마을 금광베네스타,460,2008.07.30,처인구 이동읍 백옥대로 711 (한천마을 금광네베스타),경기 용인시 처인구 이동읍 천리 1134,127.208102044125,37.2000126670327
516,처인구,삼가동,분양,행정타운늘푸른오스카빌 3단지,174,2004.12.10,"처인구 중부대로1158번길 12 (삼가동, 행정타운늘푸른오스카빌아파트)",경기 용인시 처인구 삼가동 552,127.170550930152,37.2376115088833
517,처인구,삼가동,분양,행정타운늘푸른오스카빌 2단지,186,2004.12.10,"처인구 중부대로1158번길 12 (삼가동, 행정타운늘푸른오스카빌아파트)",경기 용인시 처인구 삼가동 552,127.170550930152,37.2376115088833
518,처인구,삼가동,분양,행정타운늘푸른오스카빌 1단지,315,2004.12.10,"처인구 중부대로1158번길 12 (삼가동, 행정타운늘푸른오스카빌아파트)",경기 용인시 처인구 삼가동 552,127.170550930152,37.2376115088833
519,처인구,삼가동,분양,용인행정타운 두산위브 1단지,199,2013.11.29,"처인구 지삼로590번길 24 (삼가동, 용인행정타운두산위브1단지)",경기 용인시 처인구 삼가동 562,127.164732663858,37.2385011475596
520,처인구,삼가동,분양,용인행정타운 두산위브 2단지,624,2013.11.29,"처인구 지삼로590번길 9 (삼가동, 용인행정타운두산위브2단지아파트)",경기 용인시 처인구 삼가동 563,127.167354380587,37.2404522884646
521,처인구,삼가동,분양,용인행정타운 두산위브 3단지,470,2013.11.29,"처인구 지삼로590번길 29 (삼가동, 용인행정타운두산위브3단지아파트)",경기 용인시 처인구 삼가동 564,127.169118531027,37.23981823994
522,처인구,양지면 양지리,분양,양지아파트,60,1987.12.04,처인구 양지면 양지로143번길 7 (양지아파트),경기 용인시 처인구 양지면 양지리 594-3,127.283821587203,37.2352732434597
523,처인구,양지면 양지리,분양,양지마을 신원아침도시,156,2007.08.24,처인구 양지면 교동로 1 (신원아침도시아파트),경기 용인시 처인구 양지면 양지리 907,127.285189473495,37.2347110399464
524,처인구,역북동,분양,청광아파트,72,1991.03.28,"처인구 낙은로34번길 20 (역북동, 청광아파트)",경기 용인시 처인구 역북동 271-1,127.198505936959,37.2415268685004
525,처인구,역북동,분양,자연농원사원조합주택(아),71,1993.07.09,"처인구 낙은로 43 (역북동, 한우리아파트)",경기 용인시 처인구 역북동 280-3,127.19760522192,37.2410520829744
526,처인구,역북동,분양,전원빌라,24,1988.01.19,"처인구 금학로265번길 9-2 (역북동, 전원빌라)",경기 용인시 처인구 역북동 380-3,127.192954739288,37.2388967945826
527,처인구,역북동,분양,삼성아파트,50,1989.10.19,"처인구 금학로241번길 18-2 (역북동, 삼성맨션)",경기 용인시 처인구 역북동 381,127.191211969868,37.2392966216303
528,처인구,역북동,분양,조양맨션,46,1989.11.27,"처인구 금학로 259 (역북동, 조양맨션)",경기 용인시 처인구 역북동 412-2,127.192575991357,37.2382886653166
529,처인구,역북동,분양,조양맨션,24,1988.12.02,"처인구 금학로 261 (역북동, 조양맨션)",경기 용인시 처인구 역북동 412-9,127.192663300598,37.2380107312127
530,처인구,역북동,분양,라이프청수아파트(청수종합시장),53,1993.10.05,"처인구 용문로 30-8 (역북동, 라이프청수아파트)",경기 용인시 처인구 역북동 418-3,127.188768164513,37.2375162033993
531,처인구,역북동,분양,삼성에버랜드사원아파트,50,1990.08.20,"처인구 용문로 42 (역북동, 삼성에버랜드사원아파트)",경기 용인시 처인구 역북동 426,127.190373015318,37.2373598260402
532,처인구,이동읍 천리,분양,샘골마을 풍성 신미주아파트 2단지,234,2005.02.05(2004.11.02), 처인구 이동읍 백옥대로587번길 7 (샘골마을풍성신미주아파트2단지) ,경기 용인시 처인구 이동읍 천리 1124,127.204895419447,37.1893503511482
533,처인구,이동읍 천리,분양,샘골마을 풍성신미주아파트 1단지,800,2005.02.05(2004.11.02),처인구 이동읍 백옥대로621번길 11 (신미주아파트),경기 용인시 처인구 이동읍 천리 1119,127.204993440662,37.1921141579213
534,처인구,이동읍 송전리,분양,송전마을 세광엔리치아파트,782,2010.04.30,처인구 이동읍 경기동로705번길 28 (세광엔리치타워),경기 용인시 처인구 이동읍 송전리 1227,127.201179688583,37.1391735837303
535,처인구,이동읍 송전리,분양,송전빌라,24,1986.11.21,처인구 이동읍 경기동로739번길 9-3 (송전빌라),경기 용인시 처인구 이동읍 송전리 192,127.200745927417,37.1364499645084
536,처인구,유방동,분양,성웅아파트,271,1998.05.15,"처인구 영문로29번길 17 (유방동, 용인성웅아파트)",경기 용인시 처인구 유방동 181,127.207068856228,37.2669935846693
537,처인구,유방동,분양,인정프린스 3차아파트,380,1996.06.08,"처인구 경안천로 368 (유방동, 인정프린스3차아파트)",경기 용인시 처인구 유방동 256-4,127.216520743689,37.263721397637
538,처인구,유방동,분양,인정프린스 2차아파트,330,1995.06.02,"처인구 경안천로 378 (유방동, 인정프린스2차아파트)",경기 용인시 처인구 유방동 1007-50,127.216779994487,37.2646120521987
539,처인구,유방동,분양,인정프린스 1차아파트,375,1994.04.22,"처인구 금어로 6 (유방동, 인정프린스1차아파트)",경기 용인시 처인구 유방동 1007-1,127.216318629405,37.2649107799949
540,처인구,역북동,분양,역북마을 보성아파트,162,2000.11.14,"처인구 명지로 15-33 (역북동, 역북마을보성아파트)",경기 용인시 처인구 역북동 721-3,127.191644125489,37.2350054175335
541,처인구,역북동,분양,역북마을 금강아파트,150,1999.04.14,"처인구 명지로 15-29 (역북동, 역북마을금강아파트)",경기 용인시 처인구 역북동 721-2,127.190658312781,37.2347450748545
542,처인구,역북동,분양,역북마을 신성아파트,475,1998.12.18,"처인구 명지로 15-5 (역북동, 역북마을신성아파트) ",경기 용인시 처인구 역북동 721-1,127.189754074397,37.2354205089921
543,처인구,역북동,분양,라이프한우리1차,86,1991.04.29,"처인구 낙은로 35 (역북동, 한우리아파트)",경기 용인시 처인구 역북동 470-7,127.197950934567,37.2405999923125
544,처인구,역북동,분양,삼아맨션,99,1987.06.10,"처인구 중부대로1313번길 20-15 (역북동, 삼아아파트)",경기 용인시 처인구 역북동 438-1,127.191660832035,37.2368861419101
545,처인구,역북동,분양,유성,24,1985.11.11,"처인구 중부대로1313번길 6 (역북동, 유성빌라)",경기 용인시 처인구 역북동 427-7,127.190970030992,37.2364922397743
