,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
313,기흥구,보정동,분양,신촌마을 죽전스타클래스 타운하우스,36,2008.03.31.,"기흥구 신촌로 77 (보정동, 신촌마을 죽전스타클래스타운하우스)",경기 용인시 기흥구 보정동 1307,127.114274320198,37.3061763722275
314,기흥구,보정동,분양,용인보정 꿈에그린아파트,379,2012.10.30.,"기흥구 구교동로 17 (보정동, 용인보정꿈에그린아파트)",경기 용인시 기흥구 보정동 1393,127.10676885593,37.3067668017301
315,기흥구,보정동,분양,연원마을 성원A,691,2000.11.01.,"기흥구 연원로 49 (보정동, 연원마을성원상떼빌아파트)",경기 용인시 기흥구 보정동 694,127.110613570424,37.3032620270871
316,기흥구,상갈동,분양,넥스빌아파트,142,1997.06.26.,"기흥구 금화로108번길 21 (상갈동, 넥스빌아파트)",경기 용인시 기흥구 상갈동 102-3,127.106048735204,37.2680289342248
317,기흥구,상갈동,분양,금화마을 주공그린빌5단지,681,2001.10.16.,"기흥구 금화로82번길 17 (상갈동, 금화마을주공5단지아파트)",경기 용인시 기흥구 상갈동 454,127.111793032675,37.2661944455713
318,기흥구,상갈동,분양,금화마을 대우현대아파트,664,2001.06.20.,"기흥구 금화로82번길 14 (상갈동, 금화마을대우현대1단지아파트)",경기 용인시 기흥구 상갈동 461,127.110847444307,37.2647013177693
319,수지구,동천동 ,분양,동문그린아파트,227,1998. 11. 14.,"수지구 고기로45번길 58 (동천동, 동문그린아파트)",경기 용인시 수지구 동천동 400-1,127.092591109409,37.3394355971719
320,수지구,동천동 ,분양,행림마을 진로아파트,269,2000. 04. 11.,"수지구 고기로 11 (동천동, 행림마을진로아파트)",경기 용인시 수지구 동천동 177-12,127.099990525707,37.3425455170361
321,수지구,동천동 ,분양,수지 풍림2차아파트,271,1998.12.31.,"수지구 동천로 18 (동천동, 풍림아파트)",경기 용인시 수지구 동천동 176-1,127.099976006846,37.3416386427247
322,기흥구,영덕동,임대,흥덕마을 12단지 신동아파밀리에,759,2009.10.29.,"기흥구 흥덕3로 20  (영덕동, 흥덕마을신동아파밀리에아파트)",경기 용인시 기흥구 영덕동 1069,127.083835179275,37.2716435237123
323,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 9단지,948,2008.09.11.,"기흥구 구성로 392  (청덕동, 휴먼시아물푸레마을9단지아파트)",경기 용인시 기흥구 청덕동 569,127.154485418769,37.291712336195
324,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 1단지,618,2008.07.16.,"기흥구 구성2로 52  (청덕동, 휴먼시아물푸레마을1단지아파트)",경기 용인시 기흥구 청덕동 513,127.147262943559,37.2952364873062
325,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 2단지,389,2008.06.03.,"기흥구 구성3로 37  (청덕동, 휴먼시아물푸레마을2단지아파트)",경기 용인시 기흥구 청덕동 506,127.149523802711,37.295534418755
326,기흥구,청덕동,임대,구성 물푸레마을 휴먼시아 5단지,712,2008.06.03.,"기흥구 구성3로 38  (청덕동, 휴먼시아물푸레마을5단지아파트)",경기 용인시 기흥구 청덕동 503,127.151441268974,37.2955017961538
327,기흥구,서천동,분양,예현마을 현대홈타운,622,2002.11.21.,"기흥구 예현로35번길 21 (서천동, 예현마을현대홈타운아파트)",경기 용인시 기흥구 서천동 705,127.067368862997,37.2412105840823
