,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
750,환경부(한국자동차환경협회),구성동주민센터,01,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 구성로77번길 17,24시간 이용가능,,급속(100kW단독),1시간무료,경기 용인시 기흥구 언남동 342-1,127.118981468612,37.2967640172842
751,환경부(한국자동차환경협회),구성동주민센터,02,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 구성로77번길 17,24시간 이용가능,,급속(100kW단독),1시간무료,경기 용인시 기흥구 언남동 342-1,127.118981468612,37.2967640172842
1048,환경부(한국자동차환경협회),금학공영주차장,11,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 용문로 140,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 김량장동 324-8,127.201254031099,37.2361304697761
1049,환경부(한국자동차환경협회),금학공영주차장,12,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 용문로 140,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 김량장동 324-8,127.201254031099,37.2361304697761
1078,환경부(한국자동차환경협회),기흥휴게소(부산방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 공세로 173 (공세동),24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 공세동 260-1,127.104316216447,37.2363767227901
1079,환경부(한국자동차환경협회),기흥휴게소(부산방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 공세로 173 (공세동),24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 공세동 260-1,127.104316216447,37.2363767227901
2031,환경부(한국자동차환경협회),롯데마트 수지점,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(50kW),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2032,환경부(한국자동차환경협회),롯데마트 수지점,02,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(100kW동시),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2033,환경부(한국자동차환경협회),롯데마트 수지점,52,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 진산로 116, 4층 31, 정비소 옆",10:00~23:00,,급속(100kW동시),,경기 용인시 수지구 성복동 789,127.08219164583834,37.31216163687883
2044,환경부(한국자동차환경협회),롯데마트 신갈점,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(50kW),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
2045,환경부(한국자동차환경협회),롯데마트 신갈점,02,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(100kW동시),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
2046,환경부(한국자동차환경협회),롯데마트 신갈점,52,DC콤보,경기도 ,용인시 ,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",24시간 이용가능,,급속(100kW동시),,경기 용인시 기흥구 신갈동 63,127.10785938159,37.2719908869697
3543,환경부(한국자동차환경협회),송전휴게소,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 이동면 남북대로 2616(송전리 169-5),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 이동읍 송전리 169-5,127.205628841667,37.1406052115283
4489,환경부(한국자동차환경협회),용인서부경찰서,01,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 용구대로2469번길 32,24시간 이용가능,,급속(100kW단독),,경기 용인시 기흥구 보정동 1290,127.106125506775,37.3096181650731
4490,환경부(한국자동차환경협회),용인시민체육공원,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4491,환경부(한국자동차환경협회),용인시민체육공원,02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4492,환경부(한국자동차환경협회),용인시민체육공원,11,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4493,환경부(한국자동차환경협회),용인시민체육공원,51,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동백죽전대로 61(28-6 용인미르스타디움),07:30~19:00,,급속(100kW동시),,경기 용인시 처인구 삼가동 28-6,127.165158040098,37.2496309738938
4494,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,41,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4495,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,42,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4496,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,43,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4497,환경부(한국자동차환경협회),용인시민체육센터 제2주차장,44,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 금어로 317,24시간 이용가능,,급속(100kW단독),,경기 용인시 처인구 포곡읍 금어리 405-1,127.245792872178,37.2763828622895
4498,환경부(한국자동차환경협회),용인시청,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 삼가동 556 지하1층 가03 기둥옆,24시간 이용가능,,급속(50kW),주차요금 별도,경기 용인시 처인구 삼가동 556,127.177721812539,37.2410742217657
4499,환경부(한국자동차환경협회),용인휴게소(강릉방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로94번길 30-1 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 12-6,127.242327146043,37.2455211720791
4500,환경부(한국자동차환경협회),용인휴게소(강릉방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로94번길 30-1 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 12-6,127.242327146043,37.2455211720791
4501,환경부(한국자동차환경협회),용인휴게소(서창방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로 66-14 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 81-2,127.238305881038,37.2483623913529
4502,환경부(한국자동차환경협회),용인휴게소(서창방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 주북로 66-14 (고림동),24시간 이용가능,,급속(50kW),,경기 용인시 처인구 고림동 81-2,127.238305881038,37.2483623913529
4556,환경부(한국자동차환경협회),운학동예비군훈련장,21,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 묵동로 73-1,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 운학동 592-5,127.238558683891,37.2149164436557
4557,환경부(한국자동차환경협회),운학동예비군훈련장,22,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 묵동로 73-1,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 운학동 592-5,127.238558683891,37.2149164436557
4558,환경부(한국자동차환경협회),운학동예비군훈련장,23,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 묵동로 73-1,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 운학동 592-5,127.238558683891,37.2149164436557
4559,환경부(한국자동차환경협회),운학동예비군훈련장,24,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 묵동로 73-1,24시간 이용가능,,급속(200kW동시),,경기 용인시 처인구 운학동 592-5,127.238558683891,37.2149164436557
4819,환경부(한국자동차환경협회),이마트 보라점,21,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 한보라1로 92,10:00 ~ 23:00,,급속(100kW단독),30분무료 10분당1000원,경기 용인시 기흥구 보라동 623-1,127.105089234799,37.2475310681116
4820,환경부(한국자동차환경협회),이마트 보라점,22,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 한보라1로 92,10:00 ~ 23:00,,급속(100kW단독),30분무료 10분당1000원,경기 용인시 기흥구 보라동 623-1,127.105089234799,37.2475310681116
4825,환경부(한국자동차환경협회),이마트 수지점,21,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 수지로 203,10:00 ~ 23:00,,급속(100kW단독),30분무료 10분당1000원,경기 용인시 수지구 신봉동 909,127.083327747719,37.3197392590297
4826,환경부(한국자동차환경협회),이마트 수지점,22,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 수지로 203,10:00 ~ 23:00,,급속(100kW단독),30분무료 10분당1000원,경기 용인시 수지구 신봉동 909,127.083327747719,37.3197392590297
5358,환경부(한국자동차환경협회),죽전휴게소 (서울방향),01,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로400(경부고속도로 400),24시간 이용가능,,급속(100kW단독),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
5359,환경부(한국자동차환경협회),죽전휴게소 (서울방향),02,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로400(경부고속도로 400),24시간 이용가능,,급속(100kW단독),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
5360,환경부(한국자동차환경협회),죽전휴게소 (서울방향),81,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로400(경부고속도로 400),24시간 이용가능,,초급속(350kW단독),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
5361,환경부(한국자동차환경협회),죽전휴게소 (서울방향),82,DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로400(경부고속도로 400),24시간 이용가능,,초급속(350kW단독),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
5362,환경부(한국자동차환경협회),죽전휴게소(서울방향),01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로 400 (죽전동),24시간 이용가능,,급속(50kW),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
5363,환경부(한국자동차환경협회),죽전휴게소(서울방향),02,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 경부고속도로 400 (죽전동),24시간 이용가능,,급속(50kW),,경기 용인시 수지구 죽전동 866-2,127.104855438042,37.332592216142
6090,환경부(한국자동차환경협회),포곡읍사무소,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 포곡로 258 입구 왼쪽 주차장 끝부지,24시간 이용가능,,급속(50kW),주차요금 별도,경기 용인시 처인구 포곡읍 삼계리 588-5,127.230823074745,37.2778178062179
6412,환경부(한국자동차환경협회),한국소방산업기술원,01,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 지삼로 331,09:00~19:00,,급속(100kW멀티),,경기 용인시 기흥구 지곡동 136-2,127.145444874736,37.2354340188646
6413,환경부(한국자동차환경협회),한국소방산업기술원,02,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 지삼로 331,09:00~19:00,,급속(100kW멀티),,경기 용인시 기흥구 지곡동 136-2,127.145444874736,37.2354340188646
6414,환경부(한국자동차환경협회),한국소방산업기술원,03,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 지삼로 331,09:00~19:00,,급속(100kW멀티),,경기 용인시 기흥구 지곡동 136-2,127.145444874736,37.2354340188646
6415,환경부(한국자동차환경협회),한국소방산업기술원,04,DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 지삼로 331,09:00~19:00,,급속(100kW멀티),,경기 용인시 기흥구 지곡동 136-2,127.145444874736,37.2354340188646
7104,GS칼텍스,미성주유소,01,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 백옥대로 1416주유소 출구,24시간 이용가능,,,,경기 용인시 처인구 유방동 244-2,127.213183203666,37.261355915141
7105,GS칼텍스,미성주유소,02,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 백옥대로 1416주유소 출구,24시간 이용가능,,,,경기 용인시 처인구 유방동 244-2,127.213183203666,37.261355915141
7541,제주전기자동차서비스,경희마크329,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간 이용가능,부분개방,,,경기 용인시 기흥구 서천동 812,127.073400983472,37.2367753853172
7542,제주전기자동차서비스,경희마크329,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간 이용가능,부분개방,,,경기 용인시 기흥구 서천동 812,127.073400983472,37.2367753853172
7543,제주전기자동차서비스,경희마크329,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간 이용가능,부분개방,,,경기 용인시 기흥구 서천동 812,127.073400983472,37.2367753853172
7544,제주전기자동차서비스,경희마크329,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간 이용가능,부분개방,,,경기 용인시 기흥구 서천동 812,127.073400983472,37.2367753853172
8139,제주전기자동차서비스,명지대학교 자연캠퍼스,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8140,제주전기자동차서비스,명지대학교 자연캠퍼스,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8141,제주전기자동차서비스,명지대학교 자연캠퍼스,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8142,제주전기자동차서비스,명지대학교 자연캠퍼스,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8143,제주전기자동차서비스,명지대학교 자연캠퍼스,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8144,제주전기자동차서비스,명지대학교 자연캠퍼스,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간 이용가능,,,,경기 용인시 처인구 남동 555,127.190183727516,37.2218072639192
8535,제주전기자동차서비스,신동백두산위브더제니스상가,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 동백죽전대로 507(694 용인동백두산위브더제니스),24시간 이용가능,,50kW,,경기 용인시 기흥구 동백동 694,127.150608535392,37.2830246609485
8536,제주전기자동차서비스,신동백두산위브더제니스상가,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백죽전대로 507(694 용인동백두산위브더제니스),24시간 이용가능,,7kW,,경기 용인시 기흥구 동백동 694,127.150608535392,37.2830246609485
8800,제주전기자동차서비스,예아리박물관,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 원설로270번길 25,09:00~18:00,,,,경기 용인시 처인구 백암면 근삼리 389-1,127.364261179713,37.1413238859047
8801,제주전기자동차서비스,예아리박물관,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 원설로270번길 25,09:00~18:00,,,,경기 용인시 처인구 백암면 근삼리 389-1,127.364261179713,37.1413238859047
8832,제주전기자동차서비스,오토허브서비스,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 242-2(영덕동 21-1),24시간 이용가능,,,,경기 용인시 기흥구 영덕동 1266,127.091735504151,37.2675713575376
10021,한국전력,가현마을신안아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 구갈동 관곡로 53,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 구갈동,127.127604033598,37.2724288897902
10385,한국전력,경남아너스빌,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 기흥구 영덕동 1117,127.091664198393,37.2754323622954
10386,한국전력,경남아너스빌,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 기흥구 영덕동 1117,127.091664198393,37.2754323622954
10387,한국전력,경남아너스빌,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 기흥구 영덕동 1117,127.091664198393,37.2754323622954
10388,한국전력,경남아너스빌,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 기흥구 영덕동 1117,127.091664198393,37.2754323622954
10391,한국전력,경남아너스빌2차,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복동 성복1로163번길 11,,입주자외 출입제한 (긴급상황 이용가능),,,경기 용인시 처인구 양지면 남곡리 147-15,127.285420524023,37.2283819100044
10768,한국전력,광교경남아너스빌,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 상현동 광교마을로 2,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
10772,한국전력,광교마을 45단지 아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 광교마을로 11,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
10773,한국전력,광교마을 45단지 아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 광교마을로 11,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
10781,한국전력,광교마을46단지 광교스타클래스,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 법조로 252,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
10782,한국전력,광교마을46단지 광교스타클래스,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 법조로 252,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
10952,한국전력,교동마을 동양파라곤,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로 140,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동,127.117425207334,37.3015141229303
10953,한국전력,교동마을 동양파라곤,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로 140,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동,127.117425207334,37.3015141229303
10954,한국전력,교동마을 동양파라곤,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로 140,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동,127.117425207334,37.3015141229303
10955,한국전력,교동마을쌍용,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로154번길 23,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동 621,127.1276378876427,37.30315785123972
10956,한국전력,교동마을쌍용,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로154번길 23,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동 621,127.1276378876427,37.30315785123972
11034,한국전력,구성역 효성해링턴플레이스,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 구성로53번길 20지하,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동 53,127.131485533726,37.3107447687277
11035,한국전력,구성역 효성해링턴플레이스,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 구성로53번길 20지하,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 마북동 53,127.131485533726,37.3107447687277
11296,한국전력,금호베스트빌2단지아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 58지하,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
11297,한국전력,금호베스트빌2단지아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 58지하,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
11298,한국전력,금호베스트빌2단지아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 58지하,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 상현동,127.081096021137,37.304564864274
11316,한국전력,금화마을대우현대아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 상갈동 금화로82번길 14,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 상갈동 461,127.10997366477012,37.26473096597064
11317,한국전력,금화마을주공4단지,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 상갈동 금화로58번길 10,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 상갈동 463,127.110375237367,37.2625707951433
11330,한국전력,기후변화체험센터,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 동부로 162번길 14,24시간 이용가능,,,,경기 용인시 처인구 남동 279-7,127.222211555843,37.2227029215466
11331,한국전력,기흥구청,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 기흥구 관곡로 95,24시간 이용가능,,,,경기 용인시 기흥구 구갈동 355,127.114689044329,37.2804471236926
11422,한국전력,꽃메마을한라신영프로방스아파트,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 죽전동 27,127.134300152842,37.3316735906407
11423,한국전력,꽃메마을한라신영프로방스아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 죽전동 27,127.134300152842,37.3316735906407
11538,한국전력,남사 현대글로비스(전용),01,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11539,한국전력,남사 현대글로비스(전용),02,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11540,한국전력,남사 현대글로비스(전용),03,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11541,한국전력,남사 현대글로비스(전용),04,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11542,한국전력,남사 현대글로비스(전용),05,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11543,한국전력,남사 현대글로비스(전용),06,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11544,한국전력,남사 현대글로비스(전용),07,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11545,한국전력,남사 현대글로비스(전용),08,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11546,한국전력,남사 현대글로비스(전용),09,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",100kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11547,한국전력,남사 현대리바트,01,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),09:00~18:00,,50kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
11548,한국전력,남사 현대리바트,02,DC콤보,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),09:00~18:00,,50kW,,경기 용인시 처인구 남사읍 북리 54-10,127.159922554682,37.1388130168363
12249,한국전력,대주피오레1단지,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 공세동,127.11045868633,37.2394247066475
12250,한국전력,대주피오레1단지,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 공세동,127.11045868633,37.2394247066475
12251,한국전력,대주피오레1단지,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 기흥구 공세동,127.11045868633,37.2394247066475
12353,한국전력,도담마을우미이노스빌1차,01,DC차데모+AC3상+DC콤보,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 푸른솔로 88,,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 죽전동,127.113932721957,37.3311110877474
12354,한국전력,도담마을푸르지오,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 푸른솔로 41,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,경기 용인시 수지구 죽전동,127.113932721957,37.3311110877474
