,Unnamed: 0,x,y,geometry,장소명
5,25,127.12030510085,37.3236619856559,"MULTIPOLYGON (((127.1418584305162 37.3363144263842, 127.1417513641837 37.33571369734747, 127.1414220232889 37.33268164063129, 127.1413452109944 37.33192086203657, 127.1413241722376 37.3290757928241, 127.141335787756 37.32885724142196, 127.1414766155464 37.32817261322211, 127.1416085886616 37.32771668613463, 127.1418239113096 37.32708861886967, 127.1420423732661 37.32669266906966, 127.1421269213614 37.32656560459942, 127.1421476129013 37.32654380760795, 127.1422410761685 37.32644538819818, 127.1423547403605 37.32633620680168, 127.1423703363084 37.32630210123134, 127.1424643571007 37.32577452861803, 127.1424321320686 37.32572710833815, 127.1424032982485 37.32570673905532, 127.1423564212239 37.32567481891937, 127.1422661431575 37.32562182018633, 127.1420768278951 37.3255254742274, 127.1415960543671 37.32530543219594, 127.1414784289046 37.32526564099837, 127.141413618448 37.32524629009681, 127.1411662038824 37.32520610338486, 127.1409417800519 37.32507584795842, 127.1408498292844 37.32497979725068, 127.1407635795506 37.32486911440986, 127.1407001953149 37.32469991247491, 127.1406084927212 37.32454977810285, 127.1404760402305 37.32436684360366, 127.1403904126621 37.32427531778558, 127.1402411474768 37.32421514794618, 127.1400747899183 37.324188727106, 127.1399598628322 37.32417485572974, 127.1398166235189 37.32418343458526, 127.1396902774081 37.32419769658654, 127.1395478195976 37.32431014272057, 127.1394840129679 37.32440438863257, 127.1393182410724 37.32455035820603, 127.138911308653 37.32482178716189, 127.1387740175555 37.32491263371602, 127.1386476586077 37.32493140240443, 127.138567938786 37.32493115892115, 127.1385286101988 37.3249249733384, 127.1384875785479 37.32491851933381, 127.1383152158864 37.32482109421954, 127.1382776048665 37.32479592064333, 127.1382357511786 37.32476789470949, 127.1381310729134 37.32467856249256, 127.1380278615882 37.32457571293831, 127.137925272861 37.32449089387311, 127.1378022780507 37.32439699836944, 127.137736139565 37.32436074125258, 127.1376396534783 37.32432664283498, 127.1375550722863 37.32431173711811, 127.1375126545469 37.32431877231878, 127.1374350518623 37.32433165066633, 127.1372541531355 37.3243896982132, 127.1368842050949 37.32460488505852, 127.1367838168272 37.32464964637657, 127.136675028343 37.32468086098642, 127.1366001776434 37.32469640542963, 127.1365366767047 37.32469846386017, 127.1357392406985 37.32454239701448, 127.1356586158645 37.32450759856008, 127.135607945653 37.32448265434093, 127.1355680293229 37.32445079351525, 127.1355200974263 37.32441252705562, 127.1354026910892 37.32431408525091, 127.135106809318 37.32410027329087, 127.1349525873145 37.3240036284428, 127.1348781359787 37.32395582613892, 127.1347995508871 37.32389088013763, 127.1346062952601 37.32373704653678, 127.1344472952035 37.32364867003481, 127.1342361041455 37.32355367355001, 127.1341065479223 37.32350790160034, 127.1340122400036 37.32346254050352, 127.133952497059 37.32342744761983, 127.1339272926023 37.32339806279404, 127.1337230731944 37.32315968051547, 127.13349238365 37.32286258685946, 127.1333436481515 37.32270555753697, 127.1332838903663 37.32266255638299, 127.1332036036302 37.3226238632998, 127.1330650218593 37.32255709141792, 127.1329614290289 37.32253423631003, 127.132823381997 37.3224898653167, 127.1327837578815 37.3224754183841, 127.1326987490784 37.32244440816449, 127.1326541698135 37.32241379382011, 127.132588360214 37.32236857413742, 127.1337342371077 37.32173101549444, 127.1339487551437 37.32157055421636, 127.1346293772902 37.31984311910267, 127.1303979186399 37.31792466710716, 127.1270909043375 37.31539378108855, 127.1258468293068 37.31522540906973, 127.1262550487952 37.31626374972459, 127.1270815951527 37.31842129118347, 127.1266915302587 37.31920280875887, 127.1266009923341 37.31932567178757, 127.1245583581076 37.32127409674028, 127.1245272080601 37.32128412410313, 127.1233747435849 37.32140103674028, 127.1233118291146 37.32139711283774, 127.1232795482189 37.32139509912601, 127.1222115426893 37.32125535817161, 127.1176457375895 37.32091506618556, 127.1168952509669 37.32090809577676, 127.1130987509391 37.32090141388599, 127.1130991422089 37.32103865157016, 127.1130995041464 37.32116619922875, 127.1131005748217 37.32206984283676, 127.1130422622623 37.32229192821417, 127.1117102330785 37.32397172735182, 127.1115069818904 37.32412429616561, 127.1113464033452 37.3242116532648, 127.1108005091742 37.32423028079846, 127.111229827461 37.32451886894435, 127.1114329711362 37.32466150482166, 127.1115226456162 37.32478235990418, 127.1116125103396 37.32500008319101, 127.1116413552814 37.32515457208946, 127.1116316375407 37.32539791491102, 127.1115987560977 37.32561976471459, 127.1113501766454 37.32649217684681, 127.111209473656 37.32682635475573, 127.1111201308224 37.32705253388083, 127.111115633986 37.32723955701634, 127.111134759355 37.32763623037262, 127.1111634829968 37.32781096858923, 127.111229889355 37.32806695548189, 127.1112646458449 37.32816734902501, 127.1113056701845 37.32828466416036, 127.1113189058511 37.32831625619797, 127.1114562576733 37.32863331962237, 127.1117022107393 37.32909496128958, 127.1117848129383 37.32922029982311, 127.1126284733318 37.33049730188406, 127.1131542449643 37.33126755367682, 127.1132965975685 37.33154748052596, 127.1133418926531 37.331821393285, 127.1133208673843 37.3327565134016, 127.1132953700302 37.3330620542525, 127.113269016366 37.33337604728957, 127.1132603422815 37.33341658133607, 127.1130762354751 37.33423398772173, 127.1127484564129 37.3356886543662, 127.1128620240723 37.33569465969691, 127.1129135688917 37.33569676632925, 127.1129660815647 37.33569725360994, 127.1130750837164 37.33569761013666, 127.1133023869044 37.33567469189152, 127.1133976802704 37.33566486271781, 127.1139812582094 37.33550902558834, 127.1146675097096 37.33528140909963, 127.1149784279352 37.3350480608449, 127.1150878237447 37.33490250486216, 127.1151534305837 37.33476582021152, 127.1152379799127 37.33465116842058, 127.1156526118222 37.33427844067545, 127.1167303357193 37.33351012444721, 127.1167714043272 37.33348096240876, 127.116796894382 37.33346301723478, 127.1168811021476 37.33341484040216, 127.1169898026007 37.33340505173656, 127.1170243785187 37.33340291019388, 127.1170730759765 37.33340081434627, 127.1172069747391 37.33343054270346, 127.1197012819383 37.33407519082553, 127.120411385138 37.33428817033209, 127.1207162753818 37.33440745512825, 127.1212831107116 37.33477095230695, 127.1213372099593 37.33481732153059, 127.1213623826899 37.33486247142629, 127.1213964040727 37.33495360953478, 127.1214019870038 37.33498315862924, 127.1232918736204 37.33700605248521, 127.1265249607715 37.3373948758956, 127.1296014813342 37.33748454568585, 127.1304711079624 37.33762033674179, 127.1305313591442 37.3376384354633, 127.1333947413174 37.33861407979643, 127.1363440220806 37.33964062278095, 127.1370663383165 37.33938932681297, 127.1376503924388 37.33942379142122, 127.1379163711806 37.33943023941347, 127.1383906497809 37.33940352166712, 127.1384360896103 37.33938694884039, 127.1384825359621 37.33937000139089, 127.1386338800123 37.33929722520806, 127.1392215650988 37.33901395531583, 127.1392903693956 37.33897693784849, 127.1394069030544 37.3389142411001, 127.1395448548431 37.33883917035849, 127.1397078091451 37.3387044181759, 127.1399943075275 37.33839547923169, 127.1418584305162 37.3363144263842)))",꽃메마을 아이파크
9,25,127.1150844626,37.3247649963642,"MULTIPOLYGON (((127.1418584305162 37.3363144263842, 127.1417513641837 37.33571369734747, 127.1414220232889 37.33268164063129, 127.1413452109944 37.33192086203657, 127.1413241722376 37.3290757928241, 127.141335787756 37.32885724142196, 127.1414766155464 37.32817261322211, 127.1416085886616 37.32771668613463, 127.1418239113096 37.32708861886967, 127.1420423732661 37.32669266906966, 127.1421269213614 37.32656560459942, 127.1421476129013 37.32654380760795, 127.1422410761685 37.32644538819818, 127.1423547403605 37.32633620680168, 127.1423703363084 37.32630210123134, 127.1424643571007 37.32577452861803, 127.1424321320686 37.32572710833815, 127.1424032982485 37.32570673905532, 127.1423564212239 37.32567481891937, 127.1422661431575 37.32562182018633, 127.1420768278951 37.3255254742274, 127.1415960543671 37.32530543219594, 127.1414784289046 37.32526564099837, 127.141413618448 37.32524629009681, 127.1411662038824 37.32520610338486, 127.1409417800519 37.32507584795842, 127.1408498292844 37.32497979725068, 127.1407635795506 37.32486911440986, 127.1407001953149 37.32469991247491, 127.1406084927212 37.32454977810285, 127.1404760402305 37.32436684360366, 127.1403904126621 37.32427531778558, 127.1402411474768 37.32421514794618, 127.1400747899183 37.324188727106, 127.1399598628322 37.32417485572974, 127.1398166235189 37.32418343458526, 127.1396902774081 37.32419769658654, 127.1395478195976 37.32431014272057, 127.1394840129679 37.32440438863257, 127.1393182410724 37.32455035820603, 127.138911308653 37.32482178716189, 127.1387740175555 37.32491263371602, 127.1386476586077 37.32493140240443, 127.138567938786 37.32493115892115, 127.1385286101988 37.3249249733384, 127.1384875785479 37.32491851933381, 127.1383152158864 37.32482109421954, 127.1382776048665 37.32479592064333, 127.1382357511786 37.32476789470949, 127.1381310729134 37.32467856249256, 127.1380278615882 37.32457571293831, 127.137925272861 37.32449089387311, 127.1378022780507 37.32439699836944, 127.137736139565 37.32436074125258, 127.1376396534783 37.32432664283498, 127.1375550722863 37.32431173711811, 127.1375126545469 37.32431877231878, 127.1374350518623 37.32433165066633, 127.1372541531355 37.3243896982132, 127.1368842050949 37.32460488505852, 127.1367838168272 37.32464964637657, 127.136675028343 37.32468086098642, 127.1366001776434 37.32469640542963, 127.1365366767047 37.32469846386017, 127.1357392406985 37.32454239701448, 127.1356586158645 37.32450759856008, 127.135607945653 37.32448265434093, 127.1355680293229 37.32445079351525, 127.1355200974263 37.32441252705562, 127.1354026910892 37.32431408525091, 127.135106809318 37.32410027329087, 127.1349525873145 37.3240036284428, 127.1348781359787 37.32395582613892, 127.1347995508871 37.32389088013763, 127.1346062952601 37.32373704653678, 127.1344472952035 37.32364867003481, 127.1342361041455 37.32355367355001, 127.1341065479223 37.32350790160034, 127.1340122400036 37.32346254050352, 127.133952497059 37.32342744761983, 127.1339272926023 37.32339806279404, 127.1337230731944 37.32315968051547, 127.13349238365 37.32286258685946, 127.1333436481515 37.32270555753697, 127.1332838903663 37.32266255638299, 127.1332036036302 37.3226238632998, 127.1330650218593 37.32255709141792, 127.1329614290289 37.32253423631003, 127.132823381997 37.3224898653167, 127.1327837578815 37.3224754183841, 127.1326987490784 37.32244440816449, 127.1326541698135 37.32241379382011, 127.132588360214 37.32236857413742, 127.1337342371077 37.32173101549444, 127.1339487551437 37.32157055421636, 127.1346293772902 37.31984311910267, 127.1303979186399 37.31792466710716, 127.1270909043375 37.31539378108855, 127.1258468293068 37.31522540906973, 127.1262550487952 37.31626374972459, 127.1270815951527 37.31842129118347, 127.1266915302587 37.31920280875887, 127.1266009923341 37.31932567178757, 127.1245583581076 37.32127409674028, 127.1245272080601 37.32128412410313, 127.1233747435849 37.32140103674028, 127.1233118291146 37.32139711283774, 127.1232795482189 37.32139509912601, 127.1222115426893 37.32125535817161, 127.1176457375895 37.32091506618556, 127.1168952509669 37.32090809577676, 127.1130987509391 37.32090141388599, 127.1130991422089 37.32103865157016, 127.1130995041464 37.32116619922875, 127.1131005748217 37.32206984283676, 127.1130422622623 37.32229192821417, 127.1117102330785 37.32397172735182, 127.1115069818904 37.32412429616561, 127.1113464033452 37.3242116532648, 127.1108005091742 37.32423028079846, 127.111229827461 37.32451886894435, 127.1114329711362 37.32466150482166, 127.1115226456162 37.32478235990418, 127.1116125103396 37.32500008319101, 127.1116413552814 37.32515457208946, 127.1116316375407 37.32539791491102, 127.1115987560977 37.32561976471459, 127.1113501766454 37.32649217684681, 127.111209473656 37.32682635475573, 127.1111201308224 37.32705253388083, 127.111115633986 37.32723955701634, 127.111134759355 37.32763623037262, 127.1111634829968 37.32781096858923, 127.111229889355 37.32806695548189, 127.1112646458449 37.32816734902501, 127.1113056701845 37.32828466416036, 127.1113189058511 37.32831625619797, 127.1114562576733 37.32863331962237, 127.1117022107393 37.32909496128958, 127.1117848129383 37.32922029982311, 127.1126284733318 37.33049730188406, 127.1131542449643 37.33126755367682, 127.1132965975685 37.33154748052596, 127.1133418926531 37.331821393285, 127.1133208673843 37.3327565134016, 127.1132953700302 37.3330620542525, 127.113269016366 37.33337604728957, 127.1132603422815 37.33341658133607, 127.1130762354751 37.33423398772173, 127.1127484564129 37.3356886543662, 127.1128620240723 37.33569465969691, 127.1129135688917 37.33569676632925, 127.1129660815647 37.33569725360994, 127.1130750837164 37.33569761013666, 127.1133023869044 37.33567469189152, 127.1133976802704 37.33566486271781, 127.1139812582094 37.33550902558834, 127.1146675097096 37.33528140909963, 127.1149784279352 37.3350480608449, 127.1150878237447 37.33490250486216, 127.1151534305837 37.33476582021152, 127.1152379799127 37.33465116842058, 127.1156526118222 37.33427844067545, 127.1167303357193 37.33351012444721, 127.1167714043272 37.33348096240876, 127.116796894382 37.33346301723478, 127.1168811021476 37.33341484040216, 127.1169898026007 37.33340505173656, 127.1170243785187 37.33340291019388, 127.1170730759765 37.33340081434627, 127.1172069747391 37.33343054270346, 127.1197012819383 37.33407519082553, 127.120411385138 37.33428817033209, 127.1207162753818 37.33440745512825, 127.1212831107116 37.33477095230695, 127.1213372099593 37.33481732153059, 127.1213623826899 37.33486247142629, 127.1213964040727 37.33495360953478, 127.1214019870038 37.33498315862924, 127.1232918736204 37.33700605248521, 127.1265249607715 37.3373948758956, 127.1296014813342 37.33748454568585, 127.1304711079624 37.33762033674179, 127.1305313591442 37.3376384354633, 127.1333947413174 37.33861407979643, 127.1363440220806 37.33964062278095, 127.1370663383165 37.33938932681297, 127.1376503924388 37.33942379142122, 127.1379163711806 37.33943023941347, 127.1383906497809 37.33940352166712, 127.1384360896103 37.33938694884039, 127.1384825359621 37.33937000139089, 127.1386338800123 37.33929722520806, 127.1392215650988 37.33901395531583, 127.1392903693956 37.33897693784849, 127.1394069030544 37.3389142411001, 127.1395448548431 37.33883917035849, 127.1397078091451 37.3387044181759, 127.1399943075275 37.33839547923169, 127.1418584305162 37.3363144263842)))",도담마을 7단지 뜨리에체아파트
43,25,127.1325229679,37.3330831852983,"MULTIPOLYGON (((127.1418584305162 37.3363144263842, 127.1417513641837 37.33571369734747, 127.1414220232889 37.33268164063129, 127.1413452109944 37.33192086203657, 127.1413241722376 37.3290757928241, 127.141335787756 37.32885724142196, 127.1414766155464 37.32817261322211, 127.1416085886616 37.32771668613463, 127.1418239113096 37.32708861886967, 127.1420423732661 37.32669266906966, 127.1421269213614 37.32656560459942, 127.1421476129013 37.32654380760795, 127.1422410761685 37.32644538819818, 127.1423547403605 37.32633620680168, 127.1423703363084 37.32630210123134, 127.1424643571007 37.32577452861803, 127.1424321320686 37.32572710833815, 127.1424032982485 37.32570673905532, 127.1423564212239 37.32567481891937, 127.1422661431575 37.32562182018633, 127.1420768278951 37.3255254742274, 127.1415960543671 37.32530543219594, 127.1414784289046 37.32526564099837, 127.141413618448 37.32524629009681, 127.1411662038824 37.32520610338486, 127.1409417800519 37.32507584795842, 127.1408498292844 37.32497979725068, 127.1407635795506 37.32486911440986, 127.1407001953149 37.32469991247491, 127.1406084927212 37.32454977810285, 127.1404760402305 37.32436684360366, 127.1403904126621 37.32427531778558, 127.1402411474768 37.32421514794618, 127.1400747899183 37.324188727106, 127.1399598628322 37.32417485572974, 127.1398166235189 37.32418343458526, 127.1396902774081 37.32419769658654, 127.1395478195976 37.32431014272057, 127.1394840129679 37.32440438863257, 127.1393182410724 37.32455035820603, 127.138911308653 37.32482178716189, 127.1387740175555 37.32491263371602, 127.1386476586077 37.32493140240443, 127.138567938786 37.32493115892115, 127.1385286101988 37.3249249733384, 127.1384875785479 37.32491851933381, 127.1383152158864 37.32482109421954, 127.1382776048665 37.32479592064333, 127.1382357511786 37.32476789470949, 127.1381310729134 37.32467856249256, 127.1380278615882 37.32457571293831, 127.137925272861 37.32449089387311, 127.1378022780507 37.32439699836944, 127.137736139565 37.32436074125258, 127.1376396534783 37.32432664283498, 127.1375550722863 37.32431173711811, 127.1375126545469 37.32431877231878, 127.1374350518623 37.32433165066633, 127.1372541531355 37.3243896982132, 127.1368842050949 37.32460488505852, 127.1367838168272 37.32464964637657, 127.136675028343 37.32468086098642, 127.1366001776434 37.32469640542963, 127.1365366767047 37.32469846386017, 127.1357392406985 37.32454239701448, 127.1356586158645 37.32450759856008, 127.135607945653 37.32448265434093, 127.1355680293229 37.32445079351525, 127.1355200974263 37.32441252705562, 127.1354026910892 37.32431408525091, 127.135106809318 37.32410027329087, 127.1349525873145 37.3240036284428, 127.1348781359787 37.32395582613892, 127.1347995508871 37.32389088013763, 127.1346062952601 37.32373704653678, 127.1344472952035 37.32364867003481, 127.1342361041455 37.32355367355001, 127.1341065479223 37.32350790160034, 127.1340122400036 37.32346254050352, 127.133952497059 37.32342744761983, 127.1339272926023 37.32339806279404, 127.1337230731944 37.32315968051547, 127.13349238365 37.32286258685946, 127.1333436481515 37.32270555753697, 127.1332838903663 37.32266255638299, 127.1332036036302 37.3226238632998, 127.1330650218593 37.32255709141792, 127.1329614290289 37.32253423631003, 127.132823381997 37.3224898653167, 127.1327837578815 37.3224754183841, 127.1326987490784 37.32244440816449, 127.1326541698135 37.32241379382011, 127.132588360214 37.32236857413742, 127.1337342371077 37.32173101549444, 127.1339487551437 37.32157055421636, 127.1346293772902 37.31984311910267, 127.1303979186399 37.31792466710716, 127.1270909043375 37.31539378108855, 127.1258468293068 37.31522540906973, 127.1262550487952 37.31626374972459, 127.1270815951527 37.31842129118347, 127.1266915302587 37.31920280875887, 127.1266009923341 37.31932567178757, 127.1245583581076 37.32127409674028, 127.1245272080601 37.32128412410313, 127.1233747435849 37.32140103674028, 127.1233118291146 37.32139711283774, 127.1232795482189 37.32139509912601, 127.1222115426893 37.32125535817161, 127.1176457375895 37.32091506618556, 127.1168952509669 37.32090809577676, 127.1130987509391 37.32090141388599, 127.1130991422089 37.32103865157016, 127.1130995041464 37.32116619922875, 127.1131005748217 37.32206984283676, 127.1130422622623 37.32229192821417, 127.1117102330785 37.32397172735182, 127.1115069818904 37.32412429616561, 127.1113464033452 37.3242116532648, 127.1108005091742 37.32423028079846, 127.111229827461 37.32451886894435, 127.1114329711362 37.32466150482166, 127.1115226456162 37.32478235990418, 127.1116125103396 37.32500008319101, 127.1116413552814 37.32515457208946, 127.1116316375407 37.32539791491102, 127.1115987560977 37.32561976471459, 127.1113501766454 37.32649217684681, 127.111209473656 37.32682635475573, 127.1111201308224 37.32705253388083, 127.111115633986 37.32723955701634, 127.111134759355 37.32763623037262, 127.1111634829968 37.32781096858923, 127.111229889355 37.32806695548189, 127.1112646458449 37.32816734902501, 127.1113056701845 37.32828466416036, 127.1113189058511 37.32831625619797, 127.1114562576733 37.32863331962237, 127.1117022107393 37.32909496128958, 127.1117848129383 37.32922029982311, 127.1126284733318 37.33049730188406, 127.1131542449643 37.33126755367682, 127.1132965975685 37.33154748052596, 127.1133418926531 37.331821393285, 127.1133208673843 37.3327565134016, 127.1132953700302 37.3330620542525, 127.113269016366 37.33337604728957, 127.1132603422815 37.33341658133607, 127.1130762354751 37.33423398772173, 127.1127484564129 37.3356886543662, 127.1128620240723 37.33569465969691, 127.1129135688917 37.33569676632925, 127.1129660815647 37.33569725360994, 127.1130750837164 37.33569761013666, 127.1133023869044 37.33567469189152, 127.1133976802704 37.33566486271781, 127.1139812582094 37.33550902558834, 127.1146675097096 37.33528140909963, 127.1149784279352 37.3350480608449, 127.1150878237447 37.33490250486216, 127.1151534305837 37.33476582021152, 127.1152379799127 37.33465116842058, 127.1156526118222 37.33427844067545, 127.1167303357193 37.33351012444721, 127.1167714043272 37.33348096240876, 127.116796894382 37.33346301723478, 127.1168811021476 37.33341484040216, 127.1169898026007 37.33340505173656, 127.1170243785187 37.33340291019388, 127.1170730759765 37.33340081434627, 127.1172069747391 37.33343054270346, 127.1197012819383 37.33407519082553, 127.120411385138 37.33428817033209, 127.1207162753818 37.33440745512825, 127.1212831107116 37.33477095230695, 127.1213372099593 37.33481732153059, 127.1213623826899 37.33486247142629, 127.1213964040727 37.33495360953478, 127.1214019870038 37.33498315862924, 127.1232918736204 37.33700605248521, 127.1265249607715 37.3373948758956, 127.1296014813342 37.33748454568585, 127.1304711079624 37.33762033674179, 127.1305313591442 37.3376384354633, 127.1333947413174 37.33861407979643, 127.1363440220806 37.33964062278095, 127.1370663383165 37.33938932681297, 127.1376503924388 37.33942379142122, 127.1379163711806 37.33943023941347, 127.1383906497809 37.33940352166712, 127.1384360896103 37.33938694884039, 127.1384825359621 37.33937000139089, 127.1386338800123 37.33929722520806, 127.1392215650988 37.33901395531583, 127.1392903693956 37.33897693784849, 127.1394069030544 37.3389142411001, 127.1395448548431 37.33883917035849, 127.1397078091451 37.3387044181759, 127.1399943075275 37.33839547923169, 127.1418584305162 37.3363144263842)))",내대지마을 광명샤인빌
45,25,127.120082011998,37.3336370845464,"MULTIPOLYGON (((127.1418584305162 37.3363144263842, 127.1417513641837 37.33571369734747, 127.1414220232889 37.33268164063129, 127.1413452109944 37.33192086203657, 127.1413241722376 37.3290757928241, 127.141335787756 37.32885724142196, 127.1414766155464 37.32817261322211, 127.1416085886616 37.32771668613463, 127.1418239113096 37.32708861886967, 127.1420423732661 37.32669266906966, 127.1421269213614 37.32656560459942, 127.1421476129013 37.32654380760795, 127.1422410761685 37.32644538819818, 127.1423547403605 37.32633620680168, 127.1423703363084 37.32630210123134, 127.1424643571007 37.32577452861803, 127.1424321320686 37.32572710833815, 127.1424032982485 37.32570673905532, 127.1423564212239 37.32567481891937, 127.1422661431575 37.32562182018633, 127.1420768278951 37.3255254742274, 127.1415960543671 37.32530543219594, 127.1414784289046 37.32526564099837, 127.141413618448 37.32524629009681, 127.1411662038824 37.32520610338486, 127.1409417800519 37.32507584795842, 127.1408498292844 37.32497979725068, 127.1407635795506 37.32486911440986, 127.1407001953149 37.32469991247491, 127.1406084927212 37.32454977810285, 127.1404760402305 37.32436684360366, 127.1403904126621 37.32427531778558, 127.1402411474768 37.32421514794618, 127.1400747899183 37.324188727106, 127.1399598628322 37.32417485572974, 127.1398166235189 37.32418343458526, 127.1396902774081 37.32419769658654, 127.1395478195976 37.32431014272057, 127.1394840129679 37.32440438863257, 127.1393182410724 37.32455035820603, 127.138911308653 37.32482178716189, 127.1387740175555 37.32491263371602, 127.1386476586077 37.32493140240443, 127.138567938786 37.32493115892115, 127.1385286101988 37.3249249733384, 127.1384875785479 37.32491851933381, 127.1383152158864 37.32482109421954, 127.1382776048665 37.32479592064333, 127.1382357511786 37.32476789470949, 127.1381310729134 37.32467856249256, 127.1380278615882 37.32457571293831, 127.137925272861 37.32449089387311, 127.1378022780507 37.32439699836944, 127.137736139565 37.32436074125258, 127.1376396534783 37.32432664283498, 127.1375550722863 37.32431173711811, 127.1375126545469 37.32431877231878, 127.1374350518623 37.32433165066633, 127.1372541531355 37.3243896982132, 127.1368842050949 37.32460488505852, 127.1367838168272 37.32464964637657, 127.136675028343 37.32468086098642, 127.1366001776434 37.32469640542963, 127.1365366767047 37.32469846386017, 127.1357392406985 37.32454239701448, 127.1356586158645 37.32450759856008, 127.135607945653 37.32448265434093, 127.1355680293229 37.32445079351525, 127.1355200974263 37.32441252705562, 127.1354026910892 37.32431408525091, 127.135106809318 37.32410027329087, 127.1349525873145 37.3240036284428, 127.1348781359787 37.32395582613892, 127.1347995508871 37.32389088013763, 127.1346062952601 37.32373704653678, 127.1344472952035 37.32364867003481, 127.1342361041455 37.32355367355001, 127.1341065479223 37.32350790160034, 127.1340122400036 37.32346254050352, 127.133952497059 37.32342744761983, 127.1339272926023 37.32339806279404, 127.1337230731944 37.32315968051547, 127.13349238365 37.32286258685946, 127.1333436481515 37.32270555753697, 127.1332838903663 37.32266255638299, 127.1332036036302 37.3226238632998, 127.1330650218593 37.32255709141792, 127.1329614290289 37.32253423631003, 127.132823381997 37.3224898653167, 127.1327837578815 37.3224754183841, 127.1326987490784 37.32244440816449, 127.1326541698135 37.32241379382011, 127.132588360214 37.32236857413742, 127.1337342371077 37.32173101549444, 127.1339487551437 37.32157055421636, 127.1346293772902 37.31984311910267, 127.1303979186399 37.31792466710716, 127.1270909043375 37.31539378108855, 127.1258468293068 37.31522540906973, 127.1262550487952 37.31626374972459, 127.1270815951527 37.31842129118347, 127.1266915302587 37.31920280875887, 127.1266009923341 37.31932567178757, 127.1245583581076 37.32127409674028, 127.1245272080601 37.32128412410313, 127.1233747435849 37.32140103674028, 127.1233118291146 37.32139711283774, 127.1232795482189 37.32139509912601, 127.1222115426893 37.32125535817161, 127.1176457375895 37.32091506618556, 127.1168952509669 37.32090809577676, 127.1130987509391 37.32090141388599, 127.1130991422089 37.32103865157016, 127.1130995041464 37.32116619922875, 127.1131005748217 37.32206984283676, 127.1130422622623 37.32229192821417, 127.1117102330785 37.32397172735182, 127.1115069818904 37.32412429616561, 127.1113464033452 37.3242116532648, 127.1108005091742 37.32423028079846, 127.111229827461 37.32451886894435, 127.1114329711362 37.32466150482166, 127.1115226456162 37.32478235990418, 127.1116125103396 37.32500008319101, 127.1116413552814 37.32515457208946, 127.1116316375407 37.32539791491102, 127.1115987560977 37.32561976471459, 127.1113501766454 37.32649217684681, 127.111209473656 37.32682635475573, 127.1111201308224 37.32705253388083, 127.111115633986 37.32723955701634, 127.111134759355 37.32763623037262, 127.1111634829968 37.32781096858923, 127.111229889355 37.32806695548189, 127.1112646458449 37.32816734902501, 127.1113056701845 37.32828466416036, 127.1113189058511 37.32831625619797, 127.1114562576733 37.32863331962237, 127.1117022107393 37.32909496128958, 127.1117848129383 37.32922029982311, 127.1126284733318 37.33049730188406, 127.1131542449643 37.33126755367682, 127.1132965975685 37.33154748052596, 127.1133418926531 37.331821393285, 127.1133208673843 37.3327565134016, 127.1132953700302 37.3330620542525, 127.113269016366 37.33337604728957, 127.1132603422815 37.33341658133607, 127.1130762354751 37.33423398772173, 127.1127484564129 37.3356886543662, 127.1128620240723 37.33569465969691, 127.1129135688917 37.33569676632925, 127.1129660815647 37.33569725360994, 127.1130750837164 37.33569761013666, 127.1133023869044 37.33567469189152, 127.1133976802704 37.33566486271781, 127.1139812582094 37.33550902558834, 127.1146675097096 37.33528140909963, 127.1149784279352 37.3350480608449, 127.1150878237447 37.33490250486216, 127.1151534305837 37.33476582021152, 127.1152379799127 37.33465116842058, 127.1156526118222 37.33427844067545, 127.1167303357193 37.33351012444721, 127.1167714043272 37.33348096240876, 127.116796894382 37.33346301723478, 127.1168811021476 37.33341484040216, 127.1169898026007 37.33340505173656, 127.1170243785187 37.33340291019388, 127.1170730759765 37.33340081434627, 127.1172069747391 37.33343054270346, 127.1197012819383 37.33407519082553, 127.120411385138 37.33428817033209, 127.1207162753818 37.33440745512825, 127.1212831107116 37.33477095230695, 127.1213372099593 37.33481732153059, 127.1213623826899 37.33486247142629, 127.1213964040727 37.33495360953478, 127.1214019870038 37.33498315862924, 127.1232918736204 37.33700605248521, 127.1265249607715 37.3373948758956, 127.1296014813342 37.33748454568585, 127.1304711079624 37.33762033674179, 127.1305313591442 37.3376384354633, 127.1333947413174 37.33861407979643, 127.1363440220806 37.33964062278095, 127.1370663383165 37.33938932681297, 127.1376503924388 37.33942379142122, 127.1379163711806 37.33943023941347, 127.1383906497809 37.33940352166712, 127.1384360896103 37.33938694884039, 127.1384825359621 37.33937000139089, 127.1386338800123 37.33929722520806, 127.1392215650988 37.33901395531583, 127.1392903693956 37.33897693784849, 127.1394069030544 37.3389142411001, 127.1395448548431 37.33883917035849, 127.1397078091451 37.3387044181759, 127.1399943075275 37.33839547923169, 127.1418584305162 37.3363144263842)))",새터마을 죽전힐스테이트
